State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Months,Temperature,Rainfall,Humidity,Sun hours
Andhra Pradesh,ANANTAPUR,2008,Whole Year ,Banana,8.189799619,11.9887869,3.821399025,February,5.234500931,8.072318156,2.295871062,2.846049894
Andhra Pradesh,ANANTAPUR,2008,Whole Year ,Sunflower,10.65180924,10.17755233,0.483868573,May,5.234500931,8.072318156,2.295871062,2.846049894
Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Dry chillies,7.380879036,8.30201781,1.256496638,December,4.615192304,-9.758394208,2.190228376,3.033150178
Andhra Pradesh,ANANTAPUR,2009,Whole Year ,Banana,8.519390775,12.49118392,3.990649695,November,4.728636167,-9.139222155,2.217610125,3.016620626
Andhra Pradesh,ANANTAPUR,2009,Whole Year ,Sunflower,10.92029308,10.41942011,0.473743057,March,4.728636167,-9.139222155,2.217610125,3.016620626
Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Dry chillies,7.585281079,8.896724917,1.55030481,April,4.728636167,-9.139222155,2.217610125,3.016620626
Andhra Pradesh,ANANTAPUR,2010,Whole Year ,Banana,8.393216012,12.31862424,3.945167779,August,4.438468204,-9.308065628,2.217610125,3.038091506
Andhra Pradesh,ANANTAPUR,2010,Whole Year ,Potato,3.091042453,5.468060141,2.504553647,July,4.438468204,-9.308065628,2.217610125,3.038091506
Andhra Pradesh,ANANTAPUR,2010,Whole Year ,Sunflower,9.776562859,9.552013347,0.58715569,February,4.438468204,-9.308065628,2.217610125,3.038091506
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Dry chillies,8.319229939,9.252057965,1.264709301,March,4.838388161,-6.743801015,2.29828788,2.856571371
Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Dry chillies,4.17438727,4.430816799,0.831549503,December,4.626013402,-9.350500565,2.197224577,2.983286778
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Banana,8.987321813,13.13266414,4.161177325,March,4.781213235,-5.380091436,2.308657124,2.903446228
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Potato,2.944438979,5.204006687,2.402933067,August,5.330103188,9.668170459,2.31681374,2.896549672
Andhra Pradesh,ANANTAPUR,2011,Whole Year ,Sunflower,9.493863809,9.400547423,0.647573575,January,5.330103188,9.668170459,2.31681374,2.896549672
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Dry chillies,7.914617709,8.631235907,1.114446305,December,4.647580015,-9.998782692,2.190228376,3.033150178
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Grapes,5.476463552,8.936824155,3.495233514,July,4.647580015,-9.998782692,2.190228376,3.033150178
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Mango,8.744647438,10.96131257,2.320226524,June,6.033241252,-8.173213792,2.161153519,3.178049716
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Sunflower,8.71964412,8.556029215,0.614668897,September,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Tomato,7.845024417,10.56002261,2.779447008,July,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Dry chillies,4.262679877,5.075173815,1.185226762,January,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Potato,3.610917913,6.453624999,2.923758774,October,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Sunflower,8.402904045,7.552237288,0.355575439,April,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Tomato,7.241366283,10.34486663,3.148068713,January,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Cabbage,1.098612289,3.663561646,2.995732274,November,5.081265151,0.006009385,2.255553986,2.998331192
